Name;Passport;City from;City to;Date from;Date to;Train;Seat;Cost;Card

Аваева Анна Борисовна;0883343801;Челябинск;Омск;2023-07-24 02:00:00;2023-07-26 07:00:00;401;9-73;3554;2195397208361110

Аранбаева Карина Федоровна;4497713485;Самара;Екатеринбург;2024-04-04 05:00:00;2024-04-10 15:00:00;406;1-97;3260;5213249014132259

Шомайская Дарья Богдановна;7622270387;Самара;Екатеринбург;2024-04-04 05:00:00;2024-04-10 15:00:00;406;1-31;4928;5469356351657236

Киржакова Вероника Игоревна;3434892237;Челябинск;Омск;2023-07-24 02:00:00;2023-07-26 07:00:00;401;5-82;2420;4377735279047835

Метляев Евгений Виталиевич;9166266378;Волгоград;Краснодар;2023-10-25 07:00:00;2023-10-30 08:00:00;397;1-46;4559;4105849141768878

Азрова Тамара Петровна;7770786589;Волгоград;Краснодар;2023-10-25 07:00:00;2023-10-30 08:00:00;397;6-69;3053;4279666045409180

Даурский Яков Антонович;2000989678;Краснодар;Ростов-на-Дону;2024-02-03 13:00:00;2024-02-10 18:00:00;13;2-32;2912;5213244300961823

Буторагин Алексей Викторович;1864620483;Челябинск;Омск;2023-07-24 02:00:00;2023-07-26 07:00:00;401;8-12;2091;2195391124715570

Саляева Алла Аркадьевна;2994656889;Челябинск;Омск;2023-07-24 02:00:00;2023-07-26 07:00:00;401;7-87;3660;2216243374279078

Долгин Вадим Юрьевич;4809417553;Пермь;Волгоград;2024-02-14 14:00:00;2024-02-21 13:00:00;740;7-3;5480;4377738378218631
