Name;Passport;City from;City to;Date from;Date to;Train;Seat;Cost;Card
Зарщиков Андрей Аркадиевич;1017780778;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;9-34;2948;4105846020461675
Литвин Артём Антонович;7545081230;Уфа;Волгоград;2024-03-08 12:00:00;2024-03-13 12:00:00;283;2-95;3973;2279012458330073
Шихматов Станислав Игоревич;2861902780;Воронеж;Самара;2023-06-13 23:00:00;2023-06-20 10:00:00;286;1-44;3667;5469354785996402
Аржевцева Валентина Ивановна;1966281164;Пермь;Казань;2024-01-06 02:00:00;2024-01-09 16:00:00;233;3-47;3877;4105847729250316
Пикулин Руслан Валериевич;6428273163;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;6-26;4036;5469356354322812
Рувинов Анатолий Евгеньевич;5959100896;Пермь;Нижний Новгород;2023-08-29 05:00:00;2023-09-04 21:00:00;702;2-78;14795;2279019218261546
Дуленова Лариса Никитична;6908074648;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;2-96;2934;5213240673445663
Перкусев Леонид Кириллович;3494405061;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;8-45;27063;2195396389365974
Кандоурина Виолетта Сергеевна;7221170236;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;3-53;4686;2216242055188930
Хомутина Клара Викторовна;4676164477;Пермь;Москва;2023-09-01 20:00:00;2023-09-08 00:00:00;549;7-37;6250;4377736622892114
Зилова Катерина Кирилловна;8115934659;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;1-43;3036;2195395405737728
Корнишева Алина Никитична;6732413864;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;4-45;4875;5154296156772634
Намазбеков Антон Адамович;5118705255;Пермь;Ростов-на-Дону;2023-11-13 13:00:00;2023-11-20 16:00:00;145;1-24;4835;5213240799536449
Неудохин Дмитрий Георгиевич;8564723067;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;10-12;3427;2279011268560170
Черункова Зинаида Николаевна;8969137588;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;7-55;2143;4377739718112165
Пичужскин Николай Алексиевич;7937533814;Воронеж;Самара;2023-06-13 23:00:00;2023-06-20 10:00:00;286;2-87;5662;4279668772239881
Землянских Виолетта Романовна;7278611554;Самара;Казань;2023-05-28 18:00:00;2023-06-03 11:00:00;41;8-34;4475;2216243444792473
